"candidacyId","themeId","status","proposalIds","reviewedAt","note"
"280002552484","economia-impostos","pending","",,
"280002552484","emprego-renda","pending","",,
"280002552484","saude","pending","",,
"280002552484","educacao","pending","",,
"280002552484","seguranca-justica","pending","",,
"280002552484","programas-sociais-habitacao","pending","",,
"280002552484","meio-ambiente-clima","pending","",,
"280002552484","infraestrutura-energia","pending","",,
"280002552484","agricultura-agronegocio","pending","",,
"280002552484","estado-instituicoes","pending","",,
"280002552484","tecnologia-ciencia-inovacao","pending","",,
"280002552484","politica-externa-defesa","pending","",,
"280002552484","outros-temas","pending","",,
"280002551975","economia-impostos","pending","",,
"280002551975","emprego-renda","pending","",,
"280002551975","saude","pending","",,
"280002551975","educacao","pending","",,
"280002551975","seguranca-justica","pending","",,
"280002551975","programas-sociais-habitacao","pending","",,
"280002551975","meio-ambiente-clima","pending","",,
"280002551975","infraestrutura-energia","pending","",,
"280002551975","agricultura-agronegocio","pending","",,
"280002551975","estado-instituicoes","pending","",,
"280002551975","tecnologia-ciencia-inovacao","pending","",,
"280002551975","politica-externa-defesa","pending","",,
"280002551975","outros-temas","pending","",,
"280002551547","economia-impostos","pending","",,
"280002551547","emprego-renda","pending","",,
"280002551547","saude","pending","",,
"280002551547","educacao","pending","",,
"280002551547","seguranca-justica","pending","",,
"280002551547","programas-sociais-habitacao","pending","",,
"280002551547","meio-ambiente-clima","pending","",,
"280002551547","infraestrutura-energia","pending","",,
"280002551547","agricultura-agronegocio","pending","",,
"280002551547","estado-instituicoes","pending","",,
"280002551547","tecnologia-ciencia-inovacao","pending","",,
"280002551547","politica-externa-defesa","pending","",,
"280002551547","outros-temas","pending","",,
"280002551544","economia-impostos","pending","",,
"280002551544","emprego-renda","pending","",,
"280002551544","saude","pending","",,
"280002551544","educacao","pending","",,
"280002551544","seguranca-justica","pending","",,
"280002551544","programas-sociais-habitacao","pending","",,
"280002551544","meio-ambiente-clima","pending","",,
"280002551544","infraestrutura-energia","pending","",,
"280002551544","agricultura-agronegocio","pending","",,
"280002551544","estado-instituicoes","pending","",,
"280002551544","tecnologia-ciencia-inovacao","pending","",,
"280002551544","politica-externa-defesa","pending","",,
"280002551544","outros-temas","pending","",,
"280002541457","economia-impostos","pending","",,
"280002541457","emprego-renda","pending","",,
"280002541457","saude","pending","",,
"280002541457","educacao","pending","",,
"280002541457","seguranca-justica","pending","",,
"280002541457","programas-sociais-habitacao","pending","",,
"280002541457","meio-ambiente-clima","pending","",,
"280002541457","infraestrutura-energia","pending","",,
"280002541457","agricultura-agronegocio","pending","",,
"280002541457","estado-instituicoes","pending","",,
"280002541457","tecnologia-ciencia-inovacao","pending","",,
"280002541457","politica-externa-defesa","pending","",,
"280002541457","outros-temas","pending","",,
"280002542548","economia-impostos","pending","",,
"280002542548","emprego-renda","pending","",,
"280002542548","saude","pending","",,
"280002542548","educacao","pending","",,
"280002542548","seguranca-justica","pending","",,
"280002542548","programas-sociais-habitacao","pending","",,
"280002542548","meio-ambiente-clima","pending","",,
"280002542548","infraestrutura-energia","pending","",,
"280002542548","agricultura-agronegocio","pending","",,
"280002542548","estado-instituicoes","pending","",,
"280002542548","tecnologia-ciencia-inovacao","pending","",,
"280002542548","politica-externa-defesa","pending","",,
"280002542548","outros-temas","pending","",,
"280002553884","economia-impostos","pending","",,
"280002553884","emprego-renda","pending","",,
"280002553884","saude","pending","",,
"280002553884","educacao","pending","",,
"280002553884","seguranca-justica","pending","",,
"280002553884","programas-sociais-habitacao","pending","",,
"280002553884","meio-ambiente-clima","pending","",,
"280002553884","infraestrutura-energia","pending","",,
"280002553884","agricultura-agronegocio","pending","",,
"280002553884","estado-instituicoes","pending","",,
"280002553884","tecnologia-ciencia-inovacao","pending","",,
"280002553884","politica-externa-defesa","pending","",,
"280002553884","outros-temas","pending","",,
"280002540694","economia-impostos","pending","",,
"280002540694","emprego-renda","pending","",,
"280002540694","saude","pending","",,
"280002540694","educacao","pending","",,
"280002540694","seguranca-justica","pending","",,
"280002540694","programas-sociais-habitacao","pending","",,
"280002540694","meio-ambiente-clima","pending","",,
"280002540694","infraestrutura-energia","pending","",,
"280002540694","agricultura-agronegocio","pending","",,
"280002540694","estado-instituicoes","pending","",,
"280002540694","tecnologia-ciencia-inovacao","pending","",,
